USERNAME,NICKNAME,DEFAULTTEAM
Dunkersplatt,Brendan,BC
XmasGoose,Nate,Beast
1ottsco,Scott,Beast
Inspyur,Mihir,BC
Meyeravi,Meyer,BC
YungSpesh,Ziyu,BC
xcatieladyx,Catie,BC
belundun,Brandon,Uconn
Shananalovesdem,Jody,Uconn
DemonicFish,Mfrazz,Uconn
IntenseYogurt,Chad,Evil
mikecherry,Mike Cherry,Cherry
seanm105,Sean M,Evil
hi_im_kten,Sean B,Medium
Wolfzx99,Caelan,Evil
mrdagger17,Conrad,Evil
Albertc5555,Albert,Cherry
meddi3,Ahmad,Cherry
MultiGirl007,Steve/Laura,Riverside
dalvin_cook,,BC
damonsterwolf,Maarten,Beast
Jaxos,Joe,Medium
RARich,Rich,Medium
ColombiaSilva,,BC
kanighits,Tom,Beast
Overtray,Trevor,Medium
Swampyl,Josh,Evil
_pau1,Paul,Uconn
DezBFrag,Ben external 1,Meatloaf
dstout123,Dawson,Medium
ninjaturtle103,Ben external 2,Meatloaf
icedrake25,Bqiao's friend,Uconn
Nova_MC,Christian's friend,Twitch
SKILLVINIK,John,Cherry
MacroBomber,Twitch 1,Twitch
Mad_Quake,Twitch 2,Twitch
StereoTypicaly,Twitch 3,Twitch
mmnickymm,Nick (Aug's friend),Beast
PredatedMeteor,BBC,Twitch
TheUltimateJon,Meatloaf,Meatloaf
EldritchKoi,Meatloaf,Meatloaf
YoFumoMarihuana,Meatloaf,Meatloaf
Tran_1230,Sean's friend 1,Evil
ToaNuparu,Sean's friend 2,Evil
babar103,Meatloaf friend,Meatloaf
yuormomlol,Ziyu friend,BC
St33n3r,Matt Seattle,BC
brassline,Matt Coworker Benn,BC
Koi_Pond,Bqiao Coworker Noah,Uconn
ZenStryk,Bqiao friend,Uconn
RawNoodl3,Matt's friend Cam,BC
huef,BBC friend,Twitch
GrandGoon98,chankston,Uconn
SuperiorBoog,Tiernan,BC