ID,DATE,MOTD,STARTTIME,WINNER,SEED,VERSION,SEASON,TYPE,COMMENT
1,4/4/20,,,Uconn,,,1,uhc,scott bqiao jody trevor
2,4/11/20,,,NONE,,,1,uhc,Chad ? But it doesn't count
3,4/18/20,,,Uconn,,,1,uhc,scott jody qiao
4,4/25/20,,,Uconn,,,1,uhc,bdan ody qiao
5,5/2/20,,,UDel1,,,1,uhc,nate maarten frazz
6,5/9/20,,,NateScott,,,1,uhc,nate scott ONLY
7,5/16/20,,,NateScott,,,1,uhc,scot nate chad frazz
8,5/17/20,,,UDel1,,,1,uhc,nate tom
9,5/23/20,The Birthday UHC,,Medium,,,1,uhc,joe paul rich dawson
10,5/30/20,,,UDel1,motherhood,,1,uhc,nate steve joe rich
11,6/8/20,,0:46:07,Uconn,,,1,uhc,bdan brandon jody frazz
12,6/15/20,Last Call For Skybases,0:54:14,BC,Brendan,,1,uhc,bdan ziyu catie
13,6/21/20,UHC The Thirteenth,0:49:22,NateScott,seveenten,,1,uhc,scott nate josh
14,6/27/20,,23:43:45,Cherry,beethoven,,1,uhc,
15,7/5/20,America Edition,0:21:58,BC,union,,1,uhc,
16,7/11/20,Seven Eleven,1:24:35,UDel1,,,1,uhc,
17,7/12/20,Two UHC's in one weekend,0:12:31,BC,desert17,,1,uhc,
18,7/19/20,Colder Weather,0:53:19,Uconn,,,1,uhc,
19,7/26/20,The Harvest Moon is Upon Us,0:49:40,Meatloaf,parkour,,1,uhc,
20,8/2/20,The Golden UHC,0:46:27,Meatloaf,2.08E+18,,1,uhc,
21,8/9/20,Of purchasing age,0:44:26,BC,plplpl,,1,uhc,
22,8/16/20,Fingers Crossed,0:34:29,BC,ouch,,1,uhc,
23,8/23/20,Seafarers,0:54:32,BC,6,,1,uhc,
24,8/30/20,Running Out of Creative Names,0:41:21,BC,fourteenyo,,1,uhc,
25,9/6/20,A Five-peat?,0:34:37,Evil,25,,1,uhc,
26,9/13/20,Because I Said So,0:55:46,Beast,shootahs,,1,uhc,
27,9/20/20,Burning Throats,0:50:35,BC,LOL8PE,1.16.2,1,uhc,
28,9/27/20,No Name,0:46:11,Cherry,dothis,1.16.2,1,uhc,
29,10/4/20,The Sky Is Falling,0:27:10,Evil,steenerz,1.16.2,1,uhc,
30,10/11/20,The Big Three Oh,0:50:56,Beast,picnic,1.16.2,1,uhc,
31,10/18/20,Tokyo Drift,0:46:37,Beast,-8.54E+18,1.16.2,1,uhc,seed might not be negative
32,10/25/20,Dawn of the Dinos,0:41:48,BC,cl,1.16.2,1,uhc,
33,11/1/20,Spooky Edition,1:38:51,BC,faireys,1.16.3,1,uhc,
34,11/8/20,UHC On Stilts,1:39:19,Beast,thanksm,1.16.3,1,uhc,
35,11/18/20,Live From Boston,1:45:25,Uconn,comebackto,1.16.3,1,uhc,
36,11/22/20,Still Live From Boston,1:43:53,Beast,hotelcali,1.16.3,1,uhc,
37,11/29/20,Live From Connecticut,1:55:47,Evil,themilkmanandthepaperboy,1.16.3,1,uhc,
38,12/6/20,Barnacle Brawl,1:48:02,BC,Bad,1.16.3,1,uhc,
39,12/13/20,Barnyard Blitz,1:46:23,BC,godaddy.com/,1.16.3,1,uhc,
40,12/20/20,Pineapple Edition,1:42:21,Beast,decide,1.16.3,1,uhc,
41,12/27/20,Christmas Edition,1:42:38,Beast,"""001234""",1.16.3,1,uhc,without the quotes
42,1/3/21,2021 Edition,1:42:11,Beast,bellybutton,1.16.3,1,uhc,
43,1/10/21,The New Regime,0:56:58,Beast,dadadada,1.16.3,1,uhc,
44,1/17/21,The Old Regime,0:47:09,Beast,billyjean,1.16.3,1,uhc,
45,1/24/21,The Golden Hour,1:33:49,UDel1,"""1770797087473630000""",1.16.3,1,uhc,without the quotes
46,1/31/21,Let's Get Real,1:41:31,Love,conventiona,1.16.3,1,uhc,
47,2/14/21,Last Legs,1:53:37,Beast,gumn,1.16.3,1,uhc,
48,2/21/21,Sun's Getting Real Low,1:42:17,Cherry,lovegame,1.16.3,1,uhc,
49,2/28/21,It All Ends Here,1:44:13,1ottsco,almostover,1.16.3,1,uhc,
50,3/7/21,The Grand Finale,1:43:04,Evil,25,1.16.3,1,uhc,
51,3/21/21,So Advanced,0:44:42,Beast,season2dude,1.16.5,2,uhc,
52,3/28/21,For Political Reasons,0:21:23,Uconn,grumpeigh,1.16.5,2,uhc,
53,4/4/21,Easter Edition,0:18:36,Beast,vitamin,1.16.5,2,uhc,
54,4/11/21,And I Quote,0:11:46,Evil,winston,1.16.5,2,uhc,
55,4/18/21,Blitz Day,0:09:44,Beast,zain,1.16.5,2,blitz,blitz no regen
56,4/18/21,Blitz Day,1:13:00,BC,moky,1.16.5,2,blitz,blitz no regen
57,4/25/21,Raw Chicken,0:16:07,Beast,oncall,1.16.5,2,blitz,blitz no regen
58,4/25/21,Raw Chicken,0:57:59,Beast,master,1.16.5,2,blitz,blitz no regen
59,5/2/21,Might Be My Grandmother's Birthday,0:19:43,Beast,w,1.16.5,2,blitz,blitz no regen
60,5/2/21,Might Be My Grandmother's Birthday,1:25:05,BC,smirnoff,1.16.5,2,blitz,blitz no regen
61,5/9/21,Mother's Day Edition,0:19:10,Beast,shoo,1.16.5,2,blitz,blitz no regen
62,5/9/21,Mother's Day Edition,1:24:34,Blue,s312,1.16.5,2,blitz,blitz no regen
63,5/16/21,Getting Married in 2 Years,0:14:54,Evil,s312,1.16.5,2,blitz,blitz no regen
64,5/16/21,Getting Married in 2 Years,1:29:51,Beast,haha,1.16.5,2,blitz,blitz no regen
65,5/23/21,Birthday UHC 2 The Sequel,0:14:32,Evil,ideas,1.16.5,2,blitz 2 lives 20 hearts,blitz no regen
66,5/23/21,Birthday UHC 2 The Sequel,1:38:26,Uconn,vet,1.16.5,2,blitz,blitz no regen
67,5/30/21,Memorial Day Edition,0:17:13,IntenseYogurt,crimson,1.16.5,2,blitz solo,blitz no regen
68,6/6/21,We're All Tired,0:14:38,Beast,night,1.16.5,2,blitz,blitz no regen